group,mean_r_no,median_r_no,std_r_no,n_videos_no,mean_r_with,median_r_with,std_r_with,n_videos_with,delta_mean_r,delta_median_r
01,0.07378433363043939,-0.027103633455405486,0.3735120061166563,6,-0.024567919069084704,-0.08545576806444999,0.346887929599593,6,-0.09835225269952409,-0.0583521346090445
02,0.1937841360606091,0.18224285887694386,0.3163949171782041,6,0.1826293325872871,0.2616342085838541,0.3890232990525687,6,-0.011154803473321984,0.07939134970691025
03,0.016492775345466327,0.03521401356746189,0.2168409085715744,6,0.08123187274094514,0.20742770633650942,0.45315021917871035,6,0.06473909739547881,0.17221369276904752
04,0.02223093097396815,0.06251234688229752,0.312624552868909,6,0.1659219419103208,0.26733847618673534,0.5039429584386624,6,0.14369101093635267,0.20482612930443783
05,-0.15182001701523834,-0.0626509207152348,0.4759503470947734,6,-0.09977770459030667,-0.16101151241477527,0.3963080794099616,6,0.05204231242493167,-0.09836059169954046
06,0.3320856887414779,0.42331013247259774,0.3445123417263194,5,0.42097269601909887,0.3929092049406166,0.2411490778122914,5,0.08888700727762094,-0.030400927531981148
07,-0.2297516767557193,-0.25669994408193,0.18908697918522271,6,-0.08290126611621935,-0.061923974988503515,0.3551513077302957,6,0.14685041063949994,0.19477596909342645
08,0.13752143279631382,0.25261809920849226,0.36267081872180185,6,0.08572736085125031,0.0680706112339763,0.26703359927719433,6,-0.05179407194506351,-0.18454748797451598
09,0.11864183664451784,0.167525848566432,0.27039804805893747,6,0.007959472936467822,0.017372237495239827,0.21215489054789177,6,-0.11068236370805001,-0.15015361107119216
10,0.09933028012109744,0.2282865519376836,0.32316640621240944,6,0.14286800511039116,0.2652284563484567,0.39399534776294376,6,0.043537724989293716,0.03694190441077311
