video,group,n_clips,r,best_lag
01-01,01,11,-0.43680270608850713,0
01-02,01,11,0.17274955595434963,0
01-03,01,14,-0.25692315070614624,0
01-04,01,14,-0.023953907701956646,0
01-05,01,11,0.5444803225546955,0
01-06,01,12,-0.14695762842694332,0
02-01,02,11,0.6395760868832782,0
02-02,02,11,0.38577194297393147,0
02-03,02,12,-0.01405803892788833,0
02-04,02,13,0.13749647419377675,0
02-05,02,11,0.40848381566008507,0
02-06,02,11,-0.4614942852594603,0
03-01,03,11,0.3993757549492345,0
03-02,03,11,-0.1320706649883263,0
03-03,03,13,0.48264444395729905,0
03-04,03,13,0.01547965772378437,0
03-05,03,11,-0.6946878641933482,0
03-06,03,11,0.41664990899702736,0
04-01,04,11,-0.3519328164821705,0
04-02,04,11,0.477065585757939,0
04-03,04,13,0.057611366615531644,0
04-04,04,13,0.6499299402621239,0
04-05,04,11,0.6491151004545286,0
04-06,04,11,-0.4862575251460279,0
05-01,05,11,-0.03033981303086348,0
05-02,05,11,-0.29168321179868706,0
05-03,05,13,0.12757468411281553,0
05-04,05,13,-0.3945097474755058,0
05-05,05,11,-0.5466446407737678,0
05-06,05,11,0.5369365014241686,0
06-01,06,11,0.26501225408585954,0
06-03,06,13,0.40299283512792466,0
06-04,06,13,0.3929092049406166,0
06-05,06,11,0.8275676640357323,0
06-06,06,11,0.21638152190536125,0
07-01,07,11,-0.5620864388849584,0
07-02,07,12,-0.10590565699429308,0
07-03,07,13,-0.017942292982713954,0
07-04,07,13,0.26572483199367825,0
07-05,07,11,0.32938835935323585,0
07-06,07,11,-0.40658639918226486,0
08-01,08,11,-0.3370595010212769,0
08-02,08,11,-0.018558328742297986,0
08-03,08,13,0.37288340290096955,0
08-04,08,13,0.13161905073847346,0
08-05,08,11,0.004522171729479148,0
08-06,08,11,0.36095736950215457,0
09-01,09,11,-0.022930082490574183,0
09-02,09,11,-0.05145515575941891,0
09-03,09,13,0.05767455748105384,0
09-04,09,15,-0.33992092620136066,0
09-05,09,11,0.30615957163610674,0
09-06,09,11,0.09822887295300013,0
10-01,10,11,0.3050267174054269,0
10-02,10,11,0.25323895948091923,0
10-03,10,13,0.27721795321599424,0
10-04,10,13,-0.368401302932739,0
10-05,10,11,-0.2807468039032278,0
10-06,10,11,0.6708725073959734,0
