video	clip_idx	pred_HR	gt_HR
01-01	0	64.0	80.0
01-01	1	66.0	80.0
01-01	2	65.0	74.0
01-01	3	68.0	68.0
01-01	4	65.0	68.0
01-01	5	66.0	67.0
01-01	6	66.0	65.0
01-01	7	67.0	66.0
01-01	8	68.0	67.0
01-01	9	71.0	68.0
01-01	10	72.0	68.0
01-02	0	71.0	84.0
01-02	1	74.0	84.0
01-02	2	76.0	84.0
01-02	3	71.0	81.0
01-02	4	76.0	81.0
01-02	5	71.0	79.0
01-02	6	69.0	71.0
01-02	7	74.0	72.0
01-02	8	73.0	72.0
01-02	9	78.0	74.0
01-02	10	69.0	75.0
01-03	0	81.0	76.0
01-03	1	76.0	79.0
01-03	2	74.0	80.0
01-03	3	75.0	77.0
01-03	4	77.0	74.0
01-03	5	75.0	76.0
01-03	6	77.0	75.0
01-03	7	77.0	76.0
01-03	8	75.0	77.0
01-03	9	77.0	76.0
01-03	10	75.0	76.0
01-03	11	79.0	76.0
01-03	12	78.0	77.0
01-03	13	80.0	78.0
01-04	0	77.0	76.0
01-04	1	73.0	77.0
01-04	2	77.0	77.0
01-04	3	74.0	76.0
01-04	4	73.0	74.0
01-04	5	73.0	74.0
01-04	6	75.0	73.0
01-04	7	73.0	75.0
01-04	8	73.0	74.0
01-04	9	71.0	75.0
01-04	10	74.0	75.0
01-04	11	72.0	74.0
01-04	12	78.0	73.0
01-04	13	78.0	74.0
01-05	0	74.0	80.0
01-05	1	72.0	78.0
01-05	2	67.0	73.0
01-05	3	70.0	72.0
01-05	4	67.0	72.0
01-05	5	70.0	72.0
01-05	6	69.0	70.0
01-05	7	70.0	70.0
01-05	8	72.0	70.0
01-05	9	69.0	71.0
01-05	10	71.0	71.0
01-06	0	71.0	80.0
01-06	1	66.0	80.0
01-06	2	68.0	73.0
01-06	3	71.0	68.0
01-06	4	69.0	70.0
01-06	5	67.0	70.0
01-06	6	70.0	70.0
01-06	7	71.0	70.0
01-06	8	65.0	70.0
01-06	9	73.0	71.0
01-06	10	70.0	73.0
01-06	11	71.0	72.0
02-01	0	80.0	80.0
02-01	1	73.0	81.0
02-01	2	72.0	75.0
02-01	3	70.0	72.0
02-01	4	67.0	72.0
02-01	5	72.0	71.0
02-01	6	67.0	72.0
02-01	7	70.0	72.0
02-01	8	69.0	70.0
02-01	9	69.0	69.0
02-01	10	73.0	69.0
02-02	0	81.0	80.0
02-02	1	89.0	82.0
02-02	2	81.0	89.0
02-02	3	81.0	88.0
02-02	4	71.0	81.0
02-02	5	79.0	80.0
02-02	6	78.0	79.0
02-02	7	73.0	78.0
02-02	8	76.0	80.0
02-02	9	74.0	80.0
02-02	10	74.0	82.0
02-03	0	77.0	77.0
02-03	1	63.0	75.0
02-03	2	70.0	76.0
02-03	3	71.0	74.0
02-03	4	75.0	72.0
02-03	5	69.0	75.0
02-03	6	77.0	73.0
02-03	7	69.0	72.0
02-03	8	69.0	73.0
02-03	9	71.0	72.0
02-03	10	72.0	75.0
02-03	11	73.0	74.0
02-04	0	75.0	79.0
02-04	1	71.0	79.0
02-04	2	69.0	76.0
02-04	3	69.0	72.0
02-04	4	70.0	69.0
02-04	5	71.0	69.0
02-04	6	75.0	69.0
02-04	7	67.0	69.0
02-04	8	69.0	69.0
02-04	9	72.0	68.0
02-04	10	77.0	70.0
02-04	11	76.0	74.0
02-04	12	71.0	76.0
02-05	0	74.0	78.0
02-05	1	76.0	76.0
02-05	2	69.0	73.0
02-05	3	75.0	73.0
02-05	4	69.0	71.0
02-05	5	76.0	73.0
02-05	6	73.0	76.0
02-05	7	75.0	75.0
02-05	8	75.0	75.0
02-05	9	77.0	75.0
02-05	10	73.0	77.0
02-06	0	68.0	78.0
02-06	1	75.0	72.0
02-06	2	72.0	72.0
02-06	3	71.0	75.0
02-06	4	65.0	75.0
02-06	5	68.0	74.0
02-06	6	68.0	71.0
02-06	7	68.0	70.0
02-06	8	74.0	70.0
02-06	9	71.0	71.0
02-06	10	74.0	71.0
03-01	0	102.0	55.0
03-01	1	109.0	55.0
03-01	2	59.0	53.0
03-01	3	53.0	53.0
03-01	4	103.0	52.0
03-01	5	53.0	52.0
03-01	6	53.0	52.0
03-01	7	57.0	52.0
03-01	8	102.0	54.0
03-01	9	55.0	54.0
03-01	10	53.0	55.0
03-02	0	56.0	57.0
03-02	1	57.0	58.0
03-02	2	57.0	58.0
03-02	3	57.0	57.0
03-02	4	58.0	57.0
03-02	5	57.0	58.0
03-02	6	53.0	58.0
03-02	7	59.0	56.0
03-02	8	54.0	55.0
03-02	9	57.0	54.0
03-02	10	60.0	56.0
03-03	0	56.0	61.0
03-03	1	60.0	61.0
03-03	2	58.0	61.0
03-03	3	59.0	60.0
03-03	4	59.0	59.0
03-03	5	55.0	59.0
03-03	6	56.0	59.0
03-03	7	56.0	59.0
03-03	8	59.0	57.0
03-03	9	56.0	58.0
03-03	10	56.0	58.0
03-03	11	55.0	56.0
03-03	12	55.0	55.0
03-04	0	55.0	57.0
03-04	1	59.0	57.0
03-04	2	58.0	57.0
03-04	3	63.0	56.0
03-04	4	57.0	56.0
03-04	5	59.0	57.0
03-04	6	40.0	57.0
03-04	7	40.0	57.0
03-04	8	64.0	57.0
03-04	9	75.0	57.0
03-04	10	86.0	57.0
03-04	11	53.0	57.0
03-04	12	77.0	57.0
03-05	0	53.0	59.0
03-05	1	54.0	58.0
03-05	2	56.0	55.0
03-05	3	58.0	55.0
03-05	4	55.0	56.0
03-05	5	54.0	57.0
03-05	6	58.0	56.0
03-05	7	56.0	56.0
03-05	8	57.0	55.0
03-05	9	58.0	57.0
03-05	10	55.0	58.0
03-06	0	63.0	61.0
03-06	1	56.0	62.0
03-06	2	61.0	62.0
03-06	3	61.0	62.0
03-06	4	62.0	61.0
03-06	5	59.0	62.0
03-06	6	55.0	61.0
03-06	7	55.0	58.0
03-06	8	59.0	55.0
03-06	9	57.0	56.0
03-06	10	53.0	57.0
04-01	0	53.0	64.0
04-01	1	59.0	62.0
04-01	2	59.0	61.0
04-01	3	59.0	58.0
04-01	4	57.0	58.0
04-01	5	59.0	58.0
04-01	6	61.0	58.0
04-01	7	63.0	58.0
04-01	8	67.0	59.0
04-01	9	65.0	63.0
04-01	10	55.0	63.0
04-02	0	64.0	70.0
04-02	1	61.0	67.0
04-02	2	67.0	66.0
04-02	3	56.0	66.0
04-02	4	64.0	65.0
04-02	5	65.0	64.0
04-02	6	66.0	64.0
04-02	7	69.0	65.0
04-02	8	64.0	65.0
04-02	9	72.0	66.0
04-02	10	92.0	70.0
04-03	0	67.0	67.0
04-03	1	68.0	67.0
04-03	2	70.0	69.0
04-03	3	72.0	70.0
04-03	4	68.0	71.0
04-03	5	68.0	71.0
04-03	6	63.0	69.0
04-03	7	68.0	67.0
04-03	8	69.0	67.0
04-03	9	68.0	67.0
04-03	10	71.0	67.0
04-03	11	69.0	68.0
04-03	12	72.0	69.0
04-04	0	60.0	64.0
04-04	1	65.0	63.0
04-04	2	69.0	63.0
04-04	3	70.0	64.0
04-04	4	73.0	66.0
04-04	5	69.0	68.0
04-04	6	74.0	70.0
04-04	7	74.0	74.0
04-04	8	71.0	74.0
04-04	9	71.0	75.0
04-04	10	73.0	74.0
04-04	11	72.0	75.0
04-04	12	74.0	75.0
04-05	0	57.0	61.0
04-05	1	61.0	62.0
04-05	2	61.0	62.0
04-05	3	64.0	63.0
04-05	4	68.0	64.0
04-05	5	70.0	66.0
04-05	6	67.0	69.0
04-05	7	65.0	70.0
04-05	8	67.0	69.0
04-05	9	67.0	67.0
04-05	10	70.0	66.0
04-06	0	58.0	71.0
04-06	1	60.0	69.0
04-06	2	62.0	62.0
04-06	3	64.0	59.0
04-06	4	66.0	60.0
04-06	5	62.0	61.0
04-06	6	68.0	62.0
04-06	7	65.0	65.0
04-06	8	65.0	66.0
04-06	9	63.0	67.0
04-06	10	67.0	67.0
05-01	0	93.0	51.0
05-01	1	90.0	51.0
05-01	2	91.0	47.0
05-01	3	94.0	47.0
05-01	4	94.0	47.0
05-01	5	50.0	45.0
05-01	6	98.0	44.0
05-01	7	97.0	44.0
05-01	8	93.0	44.0
05-01	9	94.0	44.0
05-01	10	105.0	44.0
05-02	0	111.0	50.0
05-02	1	114.0	50.0
05-02	2	102.0	51.0
05-02	3	72.0	51.0
05-02	4	47.0	51.0
05-02	5	77.0	51.0
05-02	6	108.0	51.0
05-02	7	102.0	51.0
05-02	8	96.0	51.0
05-02	9	89.0	52.0
05-02	10	99.0	52.0
05-03	0	100.0	51.0
05-03	1	49.0	51.0
05-03	2	53.0	51.0
05-03	3	54.0	51.0
05-03	4	86.0	51.0
05-03	5	99.0	52.0
05-03	6	97.0	52.0
05-03	7	58.0	51.0
05-03	8	101.0	51.0
05-03	9	95.0	49.0
05-03	10	107.0	50.0
05-03	11	53.0	50.0
05-03	12	45.0	50.0
05-04	0	103.0	54.0
05-04	1	52.0	55.0
05-04	2	45.0	55.0
05-04	3	40.0	54.0
05-04	4	45.0	54.0
05-04	5	60.0	53.0
05-04	6	54.0	53.0
05-04	7	88.0	53.0
05-04	8	114.0	53.0
05-04	9	40.0	53.0
05-04	10	68.0	53.0
05-04	11	104.0	53.0
05-04	12	60.0	54.0
05-05	0	55.0	52.0
05-05	1	88.0	51.0
05-05	2	91.0	51.0
05-05	3	86.0	50.0
05-05	4	89.0	48.0
05-05	5	97.0	48.0
05-05	6	88.0	47.0
05-05	7	100.0	47.0
05-05	8	102.0	47.0
05-05	9	91.0	48.0
05-05	10	53.0	49.0
05-06	0	53.0	53.0
05-06	1	79.0	55.0
05-06	2	105.0	55.0
05-06	3	117.0	55.0
05-06	4	82.0	55.0
05-06	5	49.0	55.0
05-06	6	101.0	56.0
05-06	7	77.0	56.0
05-06	8	108.0	56.0
05-06	9	95.0	56.0
05-06	10	92.0	56.0
06-01	0	69.0	67.0
06-01	1	64.0	70.0
06-01	2	64.0	68.0
06-01	3	63.0	64.0
06-01	4	62.0	63.0
06-01	5	63.0	63.0
06-01	6	64.0	62.0
06-01	7	65.0	62.0
06-01	8	63.0	64.0
06-01	9	67.0	64.0
06-01	10	65.0	66.0
06-03	0	78.0	76.0
06-03	1	74.0	76.0
06-03	2	70.0	79.0
06-03	3	73.0	79.0
06-03	4	68.0	78.0
06-03	5	68.0	75.0
06-03	6	70.0	73.0
06-03	7	67.0	73.0
06-03	8	70.0	73.0
06-03	9	67.0	72.0
06-03	10	71.0	73.0
06-03	11	67.0	73.0
06-03	12	69.0	73.0
06-04	0	71.0	70.0
06-04	1	71.0	71.0
06-04	2	70.0	71.0
06-04	3	75.0	70.0
06-04	4	72.0	72.0
06-04	5	73.0	73.0
06-04	6	75.0	73.0
06-04	7	71.0	73.0
06-04	8	75.0	73.0
06-04	9	72.0	73.0
06-04	10	74.0	72.0
06-04	11	74.0	73.0
06-04	12	75.0	74.0
06-05	0	70.0	72.0
06-05	1	73.0	72.0
06-05	2	69.0	71.0
06-05	3	68.0	72.0
06-05	4	69.0	70.0
06-05	5	68.0	69.0
06-05	6	65.0	68.0
06-05	7	64.0	68.0
06-05	8	64.0	67.0
06-05	9	63.0	65.0
06-05	10	66.0	65.0
06-06	0	67.0	72.0
06-06	1	70.0	72.0
06-06	2	66.0	68.0
06-06	3	69.0	67.0
06-06	4	70.0	68.0
06-06	5	66.0	69.0
06-06	6	71.0	69.0
06-06	7	67.0	68.0
06-06	8	70.0	68.0
06-06	9	65.0	67.0
06-06	10	67.0	67.0
07-01	0	122.0	127.0
07-01	1	130.0	121.0
07-01	2	121.0	126.0
07-01	3	124.0	122.0
07-01	4	124.0	125.0
07-01	5	127.0	123.0
07-01	6	125.0	127.0
07-01	7	123.0	127.0
07-01	8	129.0	125.0
07-01	9	126.0	127.0
07-01	10	124.0	126.0
07-02	0	121.0	126.0
07-02	1	133.0	121.0
07-02	2	138.0	130.0
07-02	3	137.0	134.0
07-02	4	142.0	137.0
07-02	5	70.0	140.0
07-02	6	145.0	143.0
07-02	7	132.0	144.0
07-02	8	134.0	136.0
07-02	9	134.0	134.0
07-02	10	134.0	135.0
07-02	11	130.0	135.0
07-03	0	134.0	128.0
07-03	1	128.0	135.0
07-03	2	118.0	133.0
07-03	3	125.0	117.0
07-03	4	125.0	125.0
07-03	5	127.0	126.0
07-03	6	128.0	126.0
07-03	7	123.0	127.0
07-03	8	125.0	123.0
07-03	9	127.0	126.0
07-03	10	128.0	126.0
07-03	11	128.0	129.0
07-03	12	131.0	128.0
07-04	0	130.0	138.0
07-04	1	118.0	132.0
07-04	2	121.0	116.0
07-04	3	124.0	119.0
07-04	4	129.0	123.0
07-04	5	129.0	129.0
07-04	6	131.0	130.0
07-04	7	134.0	128.0
07-04	8	127.0	128.0
07-04	9	126.0	126.0
07-04	10	130.0	126.0
07-04	11	119.0	129.0
07-04	12	124.0	120.0
07-05	0	133.0	145.0
07-05	1	137.0	133.0
07-05	2	137.0	134.0
07-05	3	135.0	139.0
07-05	4	136.0	133.0
07-05	5	133.0	135.0
07-05	6	129.0	134.0
07-05	7	132.0	129.0
07-05	8	119.0	132.0
07-05	9	128.0	121.0
07-05	10	130.0	127.0
07-06	0	134.0	129.0
07-06	1	129.0	137.0
07-06	2	131.0	129.0
07-06	3	132.0	131.0
07-06	4	133.0	132.0
07-06	5	132.0	133.0
07-06	6	132.0	134.0
07-06	7	131.0	134.0
07-06	8	129.0	133.0
07-06	9	127.0	133.0
07-06	10	131.0	127.0
08-01	0	48.0	54.0
08-01	1	46.0	53.0
08-01	2	47.0	51.0
08-01	3	48.0	50.0
08-01	4	46.0	49.0
08-01	5	46.0	49.0
08-01	6	52.0	49.0
08-01	7	89.0	49.0
08-01	8	45.0	49.0
08-01	9	44.0	48.0
08-01	10	92.0	48.0
08-02	0	59.0	53.0
08-02	1	60.0	54.0
08-02	2	61.0	54.0
08-02	3	57.0	54.0
08-02	4	58.0	54.0
08-02	5	65.0	54.0
08-02	6	61.0	58.0
08-02	7	59.0	58.0
08-02	8	61.0	62.0
08-02	9	64.0	64.0
08-02	10	56.0	66.0
08-03	0	51.0	56.0
08-03	1	52.0	56.0
08-03	2	49.0	56.0
08-03	3	50.0	55.0
08-03	4	48.0	51.0
08-03	5	49.0	51.0
08-03	6	47.0	50.0
08-03	7	47.0	50.0
08-03	8	47.0	50.0
08-03	9	51.0	49.0
08-03	10	50.0	49.0
08-03	11	51.0	49.0
08-03	12	49.0	49.0
08-04	0	53.0	62.0
08-04	1	49.0	62.0
08-04	2	49.0	62.0
08-04	3	51.0	57.0
08-04	4	50.0	56.0
08-04	5	49.0	53.0
08-04	6	50.0	53.0
08-04	7	50.0	53.0
08-04	8	49.0	53.0
08-04	9	51.0	52.0
08-04	10	49.0	52.0
08-04	11	50.0	53.0
08-04	12	52.0	53.0
08-05	0	70.0	55.0
08-05	1	50.0	55.0
08-05	2	49.0	55.0
08-05	3	47.0	53.0
08-05	4	57.0	52.0
08-05	5	52.0	52.0
08-05	6	51.0	52.0
08-05	7	49.0	52.0
08-05	8	68.0	51.0
08-05	9	52.0	51.0
08-05	10	51.0	52.0
08-06	0	58.0	61.0
08-06	1	54.0	60.0
08-06	2	55.0	58.0
08-06	3	57.0	56.0
08-06	4	58.0	54.0
08-06	5	56.0	54.0
08-06	6	55.0	53.0
08-06	7	52.0	53.0
08-06	8	51.0	53.0
08-06	9	56.0	53.0
08-06	10	54.0	53.0
09-01	0	45.0	46.0
09-01	1	47.0	47.0
09-01	2	47.0	47.0
09-01	3	45.0	47.0
09-01	4	87.0	47.0
09-01	5	48.0	47.0
09-01	6	47.0	47.0
09-01	7	47.0	46.0
09-01	8	47.0	46.0
09-01	9	47.0	46.0
09-01	10	85.0	46.0
09-02	0	51.0	45.0
09-02	1	54.0	45.0
09-02	2	66.0	47.0
09-02	3	66.0	48.0
09-02	4	63.0	49.0
09-02	5	86.0	50.0
09-02	6	44.0	51.0
09-02	7	74.0	52.0
09-02	8	51.0	54.0
09-02	9	56.0	55.0
09-02	10	56.0	55.0
09-03	0	51.0	51.0
09-03	1	48.0	51.0
09-03	2	96.0	49.0
09-03	3	48.0	48.0
09-03	4	47.0	48.0
09-03	5	50.0	48.0
09-03	6	48.0	48.0
09-03	7	95.0	48.0
09-03	8	48.0	48.0
09-03	9	46.0	49.0
09-03	10	48.0	47.0
09-03	11	48.0	47.0
09-03	12	49.0	47.0
09-04	0	50.0	51.0
09-04	1	50.0	52.0
09-04	2	44.0	51.0
09-04	3	48.0	49.0
09-04	4	89.0	48.0
09-04	5	89.0	46.0
09-04	6	47.0	45.0
09-04	7	76.0	45.0
09-04	8	49.0	46.0
09-04	9	48.0	47.0
09-04	10	49.0	47.0
09-04	11	46.0	48.0
09-04	12	48.0	48.0
09-04	13	50.0	48.0
09-04	14	47.0	48.0
09-05	0	46.0	46.0
09-05	1	55.0	45.0
09-05	2	49.0	45.0
09-05	3	54.0	46.0
09-05	4	50.0	46.0
09-05	5	48.0	47.0
09-05	6	46.0	47.0
09-05	7	46.0	48.0
09-05	8	64.0	48.0
09-05	9	71.0	48.0
09-05	10	49.0	48.0
09-06	0	97.0	48.0
09-06	1	46.0	47.0
09-06	2	44.0	47.0
09-06	3	97.0	47.0
09-06	4	48.0	47.0
09-06	5	49.0	48.0
09-06	6	95.0	49.0
09-06	7	46.0	49.0
09-06	8	52.0	50.0
09-06	9	96.0	49.0
09-06	10	51.0	49.0
10-01	0	93.0	86.0
10-01	1	82.0	90.0
10-01	2	82.0	86.0
10-01	3	83.0	84.0
10-01	4	84.0	83.0
10-01	5	86.0	82.0
10-01	6	85.0	86.0
10-01	7	80.0	85.0
10-01	8	78.0	84.0
10-01	9	77.0	81.0
10-01	10	80.0	78.0
10-02	0	99.0	92.0
10-02	1	104.0	97.0
10-02	2	105.0	104.0
10-02	3	99.0	105.0
10-02	4	101.0	100.0
10-02	5	103.0	102.0
10-02	6	101.0	103.0
10-02	7	82.0	98.0
10-02	8	96.0	102.0
10-02	9	88.0	100.0
10-02	10	91.0	98.0
10-03	0	79.0	85.0
10-03	1	70.0	83.0
10-03	2	71.0	79.0
10-03	3	72.0	71.0
10-03	4	70.0	70.0
10-03	5	73.0	71.0
10-03	6	71.0	72.0
10-03	7	73.0	73.0
10-03	8	75.0	72.0
10-03	9	76.0	73.0
10-03	10	70.0	74.0
10-03	11	76.0	75.0
10-03	12	73.0	77.0
10-04	0	78.0	84.0
10-04	1	71.0	84.0
10-04	2	72.0	84.0
10-04	3	71.0	81.0
10-04	4	73.0	81.0
10-04	5	74.0	81.0
10-04	6	76.0	76.0
10-04	7	74.0	77.0
10-04	8	74.0	75.0
10-04	9	76.0	76.0
10-04	10	74.0	78.0
10-04	11	74.0	74.0
10-04	12	76.0	74.0
10-05	0	73.0	85.0
10-05	1	75.0	86.0
10-05	2	70.0	85.0
10-05	3	74.0	76.0
10-05	4	74.0	73.0
10-05	5	72.0	76.0
10-05	6	74.0	75.0
10-05	7	75.0	75.0
10-05	8	71.0	75.0
10-05	9	75.0	75.0
10-05	10	75.0	75.0
10-06	0	78.0	80.0
10-06	1	78.0	79.0
10-06	2	77.0	77.0
10-06	3	74.0	76.0
10-06	4	78.0	78.0
10-06	5	78.0	78.0
10-06	6	78.0	79.0
10-06	7	79.0	79.0
10-06	8	76.0	79.0
10-06	9	79.0	79.0
10-06	10	78.0	78.0
