orig_file_name,file_name,hr_true,fps,frame_cnt
20230426212426785_tmp_9ccc62b1c0a18b14c8093ab0ea545e64251a62c158ac692b,959-20230426212426785_tmp_9ccc62b1c0a18b14c8093ab0ea545e64251a62c158ac692b,73.0,24.916666666666668,530.0
20230429085552277_tmp_2a736f45b9eebe4bb981b5fc0ce8b6bdcb88e4b48e80af8f,960-20230429085552277_tmp_2a736f45b9eebe4bb981b5fc0ce8b6bdcb88e4b48e80af8f,70.0,25.0,487.0
20230430105934489_tmp_4c82a31346fa76a44676eb96fbc1210538b1dcad768dd8cf,961-20230430105934489_tmp_4c82a31346fa76a44676eb96fbc1210538b1dcad768dd8cf,72.0,24.83333333333333,487.0
20230503154237807_tmp_33d1a2a4f5af8f20dccd2af618224a6cddd02b449be70942,962-20230503154237807_tmp_33d1a2a4f5af8f20dccd2af618224a6cddd02b449be70942,80.0,25.0,487.0
20230506065854701_tmp_a61b26ec2446c9718217337536210772d6f9203fac212e25,963-20230506065854701_tmp_a61b26ec2446c9718217337536210772d6f9203fac212e25,81.0,19.989707475933063,387.0
20230507113549029_tmp_b82d377839287729379678ae91b4b0e993b6caf7ed1fb463,964-20230507113549029_tmp_b82d377839287729379678ae91b4b0e993b6caf7ed1fb463,85.0,19.97951699002741,387.0
20230606191610794_tmp_58fa604c7fc77323839b98ab2a4ead14110430da3b989082,965-20230606191610794_tmp_58fa604c7fc77323839b98ab2a4ead14110430da3b989082,76.0,24.942903333418872,486.0
20230611090941376_tmp_83fe8dbd5ea4fdd39ab90394da511c47f10d648ed783d959,966-20230611090941376_tmp_83fe8dbd5ea4fdd39ab90394da511c47f10d648ed783d959,76.0,24.916666666666668,486.0
20230612204419331_tmp_a50ca089b6d6c0dff94f7e0f7c3b43e76937e21ad1b7f081,967-20230612204419331_tmp_a50ca089b6d6c0dff94f7e0f7c3b43e76937e21ad1b7f081,76.0,24.916666666666668,485.0
20230613212633645_tmp_3ff4cc5b94017b836db58b70e26db03632f44f24b766a446,968-20230613212633645_tmp_3ff4cc5b94017b836db58b70e26db03632f44f24b766a446,75.0,24.83333333333333,507.0
20230627200514421_tmp_044acd34e4885ad8e233fbcea4f19b8ac402287eb5b92a4a,969-20230627200514421_tmp_044acd34e4885ad8e233fbcea4f19b8ac402287eb5b92a4a,87.0,20.0,387.0
20230629215126865_tmp_d8cc670eb032d75a32f2926720a83a0a72e0bad4169ee956,970-20230629215126865_tmp_d8cc670eb032d75a32f2926720a83a0a72e0bad4169ee956,78.0,25.166666666666668,486.0
20230702083003855_tmp_2bafacc8d52acee1e6a0cadfa603c4a8f9b5c7b51f466970,971-20230702083003855_tmp_2bafacc8d52acee1e6a0cadfa603c4a8f9b5c7b51f466970,79.0,19.83333333333333,386.0
20230919211659379_tmp_74296d097950e3ae37ed3be7a3b9165f63563edf5db1218b,972-20230919211659379_tmp_74296d097950e3ae37ed3be7a3b9165f63563edf5db1218b,83.0,24.0,477.0
20230622004520410_tmp_09b6835cca00395a1d8dd9fc59e3849f,1008-20230622004520410_tmp_09b6835cca00395a1d8dd9fc59e3849f,69.0,24.916666666666668,539.0
20230622202303020_tmp_bef7d397b4e93760cf0aa8868d8c790a,1009-20230622202303020_tmp_bef7d397b4e93760cf0aa8868d8c790a,69.0,24.916666666666668,507.0
20230628195850637_tmp_6338e5a1f95a3e932d20b0131cb8d614,1010-20230628195850637_tmp_6338e5a1f95a3e932d20b0131cb8d614,58.0,24.916666666666668,507.0
20230716210941767_tmp_b4fe9e24a293e312940f4751670439fb,1011-20230716210941767_tmp_b4fe9e24a293e312940f4751670439fb,54.0,24.916666666666668,507.0
20230718211702318_tmp_1f65b2cdb827b3a92566fc0a59097cfd,1012-20230718211702318_tmp_1f65b2cdb827b3a92566fc0a59097cfd,60.0,24.916666666666668,518.0
20230719203001340_tmp_b48d88cd6722bb2b488a7811f44acaf6,1013-20230719203001340_tmp_b48d88cd6722bb2b488a7811f44acaf6,58.0,24.916666666666668,571.0
20230828082855225_tmp_832dff90c0309d582334ea5f5147e1e6,1014-20230828082855225_tmp_832dff90c0309d582334ea5f5147e1e6,53.0,24.916666666666668,571.0
20240210080802631_tmp_a23394076e631a604f04fc9124fd1de6,1015-20240210080802631_tmp_a23394076e631a604f04fc9124fd1de6,56.0,24.916666666666668,512.0
20240213224204001_tmp_9f90f5d3cc1c1015e147993262e19821,1016-20240213224204001_tmp_9f90f5d3cc1c1015e147993262e19821,59.0,24.916666666666668,507.0
20240218100218003_tmp_87289bd10d5b42f0372be67804eef5b4,1017-20240218100218003_tmp_87289bd10d5b42f0372be67804eef5b4,57.0,24.0,491.0
20230814203336678_tmp_045a0a3edcff3eb24dcf21f235b5dca2,1166-20230814203336678_tmp_045a0a3edcff3eb24dcf21f235b5dca2,86.0,29.916666666666668,659.0
20230814203818867_tmp_f87541aba0aed98bc9cf5e63e181cea5,1167-20230814203818867_tmp_f87541aba0aed98bc9cf5e63e181cea5,83.0,29.83333333333333,606.0
20230814203940355_tmp_502a3da812a9c97b1ff11b765d5c0c9d,1168-20230814203940355_tmp_502a3da812a9c97b1ff11b765d5c0c9d,87.0,29.83333333333333,605.0
20230815074958908_tmp_33e42b06e965f1283c98d2ab2af061eb,1169-20230815074958908_tmp_33e42b06e965f1283c98d2ab2af061eb,79.0,29.83333333333333,607.0
20230406221649444_tmp_359707c8dccc9516485c1e5eef3fb961,1230-20230406221649444_tmp_359707c8dccc9516485c1e5eef3fb961,79.0,24.0,487.0
20230814204629998_tmp_46c08d4afed0916c9b2811489d30a63f,1231-20230814204629998_tmp_46c08d4afed0916c9b2811489d30a63f,74.0,29.916666666666668,607.0
20230814204945136_tmp_f9a8d38bdd00b0e53735dd9044a41a3f,1232-20230814204945136_tmp_f9a8d38bdd00b0e53735dd9044a41a3f,76.0,24.0,487.0
20230814205119106_tmp_63aa5150b8d3a12e7bb4b1b4f09e1e6b,1233-20230814205119106_tmp_63aa5150b8d3a12e7bb4b1b4f09e1e6b,82.0,24.0,488.0
20230814205248952_tmp_0d947b713209f5c75b6b77f0a0cc8f36,1234-20230814205248952_tmp_0d947b713209f5c75b6b77f0a0cc8f36,80.0,24.0,487.0
20230814205942319_tmp_3d7c02c974a15245e210d69a3507ce87,1235-20230814205942319_tmp_3d7c02c974a15245e210d69a3507ce87,77.0,24.0,487.0
20230825145854379_tmp_eea3becf92f33ead7d87f9c472817ee5,1236-20230825145854379_tmp_eea3becf92f33ead7d87f9c472817ee5,83.0,24.0,487.0
20230827161117722_tmp_22045bd222abb9d374f7ac36d3fadbec,1237-20230827161117722_tmp_22045bd222abb9d374f7ac36d3fadbec,67.0,24.0,549.0
20230828105034146_tmp_67f14bad27e235b323a30303afb7c890,1238-20230828105034146_tmp_67f14bad27e235b323a30303afb7c890,72.0,24.0,486.0
20230903081453487_tmp_59b85fd0ced8a55ddd1a950facc900f8,1239-20230903081453487_tmp_59b85fd0ced8a55ddd1a950facc900f8,78.0,24.0,483.0
20230904192704801_tmp_e7a7eece9e60ce885a6ede9146ceea79,1240-20230904192704801_tmp_e7a7eece9e60ce885a6ede9146ceea79,77.0,24.0,505.0
20230905170620585_tmp_faea4568930581a726758e5d34bca5b0,1241-20230905170620585_tmp_faea4568930581a726758e5d34bca5b0,68.0,29.83333333333333,603.0
20231003163810166_tmp_067b7125606d2acce7d1a593dc1729be,1242-20231003163810166_tmp_067b7125606d2acce7d1a593dc1729be,63.0,24.0,489.0
20231031205645866_tmp_db5d8f4906f90c1f385544428d43cf7c,1243-20231031205645866_tmp_db5d8f4906f90c1f385544428d43cf7c,71.0,24.916666666666668,599.0
20240221103920297_tmp_115abf8efd6d111f406a2217fbfe05fe,1244-20240221103920297_tmp_115abf8efd6d111f406a2217fbfe05fe,68.0,24.0,487.0
20240221104318942_tmp_4a9abe9566afefb96ca26f0a6ed69b92,1245-20240221104318942_tmp_4a9abe9566afefb96ca26f0a6ed69b92,68.0,24.0,487.0
20230517221028171_tmp_0fbbd7b07ef9e8b1dc9ec5a232f87d11,1263-20230517221028171_tmp_0fbbd7b07ef9e8b1dc9ec5a232f87d11,70.0,24.0,522.0
20230518172111523_tmp_b48daf4d9fedcfef373e6bc99ddc2246,1264-20230518172111523_tmp_b48daf4d9fedcfef373e6bc99ddc2246,69.0,25.0,515.0
20230519180227925_tmp_013a4da493ffe44ce303bd66ae129fbd,1265-20230519180227925_tmp_013a4da493ffe44ce303bd66ae129fbd,74.0,24.0,494.0
20230520180622750_tmp_ca38b60e8990e623d1d954ee5734fed0,1266-20230520180622750_tmp_ca38b60e8990e623d1d954ee5734fed0,71.0,25.0,517.0
20230521173549734_tmp_eff774e16b04ba75e5b60483d8b598bc,1267-20230521173549734_tmp_eff774e16b04ba75e5b60483d8b598bc,74.0,25.0,512.0
20230522170613332_tmp_2fed5b331510eb27cc513418cd6d86f4,1268-20230522170613332_tmp_2fed5b331510eb27cc513418cd6d86f4,63.0,24.0,491.0
20230601225130158_tmp_2f9f4c79036c96335249c08abd34c684,1269-20230601225130158_tmp_2f9f4c79036c96335249c08abd34c684,64.0,25.0,515.0
20230419164847672_tmp_1c53a5616c45fc818239d31378135ba4ba33cb881cb7cf9b,1270-20230419164847672_tmp_1c53a5616c45fc818239d31378135ba4ba33cb881cb7cf9b,77.0,24.75,492.0
20230420171211843_tmp_f1e579dab3ba6126a47aef28c95d78227e9896b526185de6,1271-20230420171211843_tmp_f1e579dab3ba6126a47aef28c95d78227e9896b526185de6,83.0,24.75,492.0
20230709062854243_tmp_1500d13097f998966f3ae807f48ca40edad25488fea05c91,1272-20230709062854243_tmp_1500d13097f998966f3ae807f48ca40edad25488fea05c91,77.0,24.0,238.0
